OBJECTID,NAME,PLZ,GPLZ,CANTON,CANTON_NR,BFSNR,CASES,SUBMISSIONS,FRACTION,POPULATION_AGGREGATED,SUBMISSIONS_PER_100K,CASES_PER_100K,Shape__Area,Shape__Length,Shape__Area_2,Shape__Length_2
158,Cartigny,1236,1236,GE,25,6609,0,0,0,1011,0,0,9564414.20629883,15368.3540850364,4588051.07373047,10645.4448800881
159,Avully,1237,1237,GE,25,6603,0,0,0,1731,0,0,9475194.68798828,15290.4023550007,4546690.42797852,10592.0244142037
160,Collex,1239,1239,GE,25,6615,0,0,0,1563,0,0,13726701.8850098,19216.9741763983,6559740.95629883,13285.0765256363
161,Puplinge,1241,1241,GE,25,6636,0,0,0,2434,0,0,5755069.64086914,11348.0145893156,2757206.33740234,7855.62173692263
162,Satigny,1242,1242,GE,25,6638,0,0,0,4117,0,0,37230938.7331543,32281.7185383641,17834673.4277344,22349.7123242313
163,Presinge,1243,1243,GE,25,6635,0,0,0,740,0,0,9801742.69287109,18401.6335093119,4694623.34594727,12741.3124519221
164,Choulex,1244,1244,GE,25,6614,0,0,0,1133,0,0,8110267.65307617,17341.379114568,3883332.30859375,11999.5027997912
165,Collonge-Bellerive,1245,1245,GE,25,6616,0,0,0,2898,0,0,11446394.1103516,15951.0713200961,5474275.65966797,11031.6750863804
166,Corsier GE,1246,1246,GE,25,6619,0,0,0,2098,0,0,8948689.89355469,17589.7490140655,4278605.54907227,12167.8607820988
167,Anières,1247,1247,GE,25,6602,0,0,0,2335,0,0,18317764.4216309,19907.4688406264,8753493.64135742,13763.3653369368
168,Hermance,1248,1248,GE,25,6625,0,0,0,1042,0,0,10362684.2995605,14550.5425469148,4948741.52246094,10058.481749664
169,Gy,1251,1251,GE,25,6624,0,0,0,450,0,0,6738819.16870117,21872.826023832,3223665.63305664,15128.9859659561
170,Meinier,1252,1252,GE,25,6629,0,0,0,2139,0,0,14542151.1767578,21446.5103386948,6958791.93701172,14836.3931517723
171,Vandoeuvres,1253,1253,GE,25,6642,0,0,0,2387,0,0,9273611.27661133,12955.256259108,4441623.65283203,8964.44405932355
172,Jussy,1254,1254,GE,25,6626,0,0,0,1274,0,0,23803331.7546387,26417.1923358919,11392864.4816895,18277.0822170577
173,Veyrier,1255,1255,GE,25,6645,0,2,0,5850,34.18803,0,6052034.41674805,10788.392275923,2903959.13183594,7472.58990216148
174,Troinex,1256,1256,GE,25,6641,0,2,0,3074,65.06181,0,7148459.72338867,13597.8095982212,3431172.76831055,9424.21816172212
175,La Croix-de-Rozon,1257,1257,GE,25,6605,0,0,0,2301,0,0,10358930.1286621,19960.2991175767,4974120.91210938,13835.3856654389
176,Perly,1258,1258,GE,25,6632,0,0,0,3072,0,0,5930372.12988281,12208.5947625008,2846696.56396484,8457.88446917793
177,Nyon,1260,1260,VD,22,5724,0,0,0,20947,0,0,24023298.9274902,26948.5368958956,11437965.744873,18598.3292703129
178,Marchissy,1261,1261,VD,22,5430,0,0,0,2265,0,0,51827636.2922363,37422.2560754428,24569818.4609375,25761.3554548838
179,Eysins,1262,1262,VD,22,5716,0,1,0,1880,53.19149,0,5234248.82543945,14774.6623926142,2492040.99975586,10194.4900139849
180,Crassier,1263,1263,VD,22,5714,0,0,0,1229,0,0,4256242.90063477,12390.3243033213,2026809.61450195,8548.80339979278
181,St-Cergue,1264,1264,VD,22,5727,0,0,0,2370,0,0,40718149.2443848,34846.5708442057,19336343.579834,24020.8377603443
182,La Cure,1265,1265,VD,22,5727,0,0,0,201,0,0,17211102.6699219,20923.4440473542,8170401.85717773,14414.0030195624
183,Duillier,1266,1266,VD,22,5715,0,0,0,1097,0,0,8611001.60498047,15876.7090421956,4095503.02856445,10951.2077981145
184,Vich,1267,1267,VD,22,5732,0,0,0,1621,0,0,9296042.93652344,19572.8225789016,4418778.30639648,13492.1624588196
